county,county_fips,year,mine_count,coal_output_total,mine_employment
Barbour County,54001,2000,6,757994.0,137.08333333333334
Barbour County,54001,2001,5,692354.0,52.58333333333333
Barbour County,54001,2002,9,916134.0,87.25
Barbour County,54001,2003,8,988636.0,140.91666666666669
Barbour County,54001,2004,7,2038333.0,136.0
Barbour County,54001,2005,8,1754980.0,165.5
Barbour County,54001,2006,9,2033328.0,173.25
Barbour County,54001,2007,6,1919191.0,192.75
Barbour County,54001,2008,7,1562302.0,279.58333333333337
Barbour County,54001,2009,4,1469936.0,293.0
Barbour County,54001,2010,2,1363991.0,273.5
Barbour County,54001,2011,2,1262302.0,281.0
Barbour County,54001,2012,1,1128404.0,286.25
Barbour County,54001,2013,1,1019728.0,245.0
Barbour County,54001,2014,1,1016584.0,219.75
Barbour County,54001,2015,1,989058.0,220.75
Barbour County,54001,2016,1,1001623.0,211.5
Barbour County,54001,2017,1,1463070.0,259.0
Barbour County,54001,2018,1,1169514.0,293.0
Barbour County,54001,2019,1,1106710.0,368.75
Barbour County,54001,2020,1,756071.0,451.75
Barbour County,54001,2021,1,905261.0,506.75
Barbour County,54001,2022,2,2402952.0,651.6666666666666
Barbour County,54001,2023,2,3345280.0,748.25
Barbour County,54001,2024,2,3443676.0,812.5
Boone County,54005,2000,34,32815535.0,2081.5833333333335
Boone County,54005,2001,38,34592721.0,2532.9166666666665
Boone County,54005,2002,41,32820501.0,2657.25
Boone County,54005,2003,35,30802655.0,2620.0
Boone County,54005,2004,38,31706540.0,2779.4166666666665
Boone County,54005,2005,43,31497573.0,3092.0833333333335
Boone County,54005,2006,45,31032804.0,3320.75
Boone County,54005,2007,40,33202133.0,3326.6666666666665
Boone County,54005,2008,41,31589662.0,3634.1666666666665
Boone County,54005,2009,41,26505109.0,3444.5
Boone County,54005,2010,36,23210784.0,3293.25
Boone County,54005,2011,38,22772514.0,3517.0833333333335
Boone County,54005,2012,33,17290819.0,2875.6666666666665
Boone County,54005,2013,25,13522894.0,2232.25
Boone County,54005,2014,25,13814861.0,2078.9166666666665
Boone County,54005,2015,18,8374033.0,1393.4166666666667
Boone County,54005,2016,15,5068124.0,716.8333333333333
Boone County,54005,2017,14,5147128.0,740.25
Boone County,54005,2018,15,4608045.0,750.9166666666666
Boone County,54005,2019,15,4363997.0,729.5
Boone County,54005,2020,13,2645880.0,580.25
Boone County,54005,2021,12,3069212.0,480.75
Boone County,54005,2022,9,3015778.0,499.8333333333333
Boone County,54005,2023,14,2718751.0,535.0833333333334
Boone County,54005,2024,11,2952857.0,588.25
Brooke County,54009,2000,1,1897198.0,178.5
Brooke County,54009,2001,1,1035414.0,127.25
Brooke County,54009,2002,1,1269590.0,107.25
Brooke County,54009,2005,1,213029.0,28.25
Brooke County,54009,2006,1,417816.0,50.25
Brooke County,54009,2007,2,405708.0,49.0
Brooke County,54009,2008,2,523950.0,59.25
Brooke County,54009,2009,2,102410.0,16.0
Brooke County,54009,2011,1,124389.0,17.333333333333332
Brooke County,54009,2012,1,279837.0,27.0
Clay County,54015,2000,4,5092609.0,298.25
Clay County,54015,2001,2,4521039.0,249.0
Clay County,54015,2002,2,4183625.0,254.75
Clay County,54015,2003,2,3868663.0,275.25
Clay County,54015,2004,2,4133170.0,303.0
Clay County,54015,2005,2,4096970.0,316.25
Clay County,54015,2006,2,4024938.0,309.0
Clay County,54015,2007,3,3753557.0,316.75
Clay County,54015,2008,2,3600191.0,331.5
Clay County,54015,2009,2,3029298.0,378.75
Clay County,54015,2010,2,2095129.0,227.0
Clay County,54015,2011,3,2520363.0,237.75
Clay County,54015,2012,2,1044999.0,137.25
Clay County,54015,2013,1,2694.0,8.25
Clay County,54015,2014,1,19772.0,3.0
Clay County,54015,2015,1,142161.0,5.25
Clay County,54015,2016,1,72354.0,3.5
Clay County,54015,2017,1,49424.0,4.5
Clay County,54015,2018,1,125101.0,5.0
Clay County,54015,2019,1,40243.0,4.5
Clay County,54015,2020,1,32183.0,2.5
Clay County,54015,2021,2,151099.0,21.25
Clay County,54015,2022,1,71860.0,5.5
Clay County,54015,2023,2,129002.0,40.5
Clay County,54015,2024,3,207045.0,60.5
Fayette County,54019,2000,9,3952627.0,353.8333333333333
Fayette County,54019,2001,10,3391804.0,326.5
Fayette County,54019,2002,13,4479481.0,371.75
Fayette County,54019,2003,9,2356979.0,258.3333333333333
Fayette County,54019,2004,13,3332426.0,457.5
Fayette County,54019,2005,15,3955399.0,564.0
Fayette County,54019,2006,18,4196054.0,597.5833333333334
Fayette County,54019,2007,21,5407693.0,708.3333333333334
Fayette County,54019,2008,23,7064951.0,990.8333333333334
Fayette County,54019,2009,21,6518839.0,916.0
Fayette County,54019,2010,18,6669277.0,809.5833333333333
Fayette County,54019,2011,18,6648139.0,1100.25
Fayette County,54019,2012,18,5723015.0,974.9166666666666
Fayette County,54019,2013,13,4891999.0,779.75
Fayette County,54019,2014,14,4173013.0,688.6666666666666
Fayette County,54019,2015,13,2882401.0,523.25
Fayette County,54019,2016,12,2474118.0,428.3333333333333
Fayette County,54019,2017,12,3293127.0,542.3333333333333
Fayette County,54019,2018,13,3431101.0,617.5
Fayette County,54019,2019,12,2674138.0,496.6666666666667
Fayette County,54019,2020,9,1387977.0,288.0833333333333
Fayette County,54019,2021,11,1964391.0,381.75
Fayette County,54019,2022,13,2381188.0,509.75
Fayette County,54019,2023,13,3093010.0,634.0
Fayette County,54019,2024,12,2933473.0,618.1666666666666
Grant County,54023,2000,3,567765.0,70.75
Grant County,54023,2001,2,774402.0,62.5
Grant County,54023,2002,3,1436755.0,99.0
Grant County,54023,2003,3,1364413.0,94.5
Grant County,54023,2004,2,1226374.0,79.75
Grant County,54023,2005,4,782560.0,104.0
Grant County,54023,2006,4,206056.0,87.5
Grant County,54023,2007,1,124757.0,19.5
Grant County,54023,2010,1,5017.0,10.666666666666666
Grant County,54023,2011,1,119574.0,43.75
Grant County,54023,2012,1,132974.0,38.75
Grant County,54023,2013,1,304.0,2.0
Grant County,54023,2015,1,51431.0,36.0
Grant County,54023,2020,1,17692.0,6.25
Grant County,54023,2021,1,26375.0,5.5
Grant County,54023,2022,1,50289.0,6.25
