county,county_fips,year,labor_force,employed,unemployed,unemployment_rate,total_pop,age_16_plus,age_65_plus,age_16_plus_pop,age_65_plus_pop,lfpr,not_in_labor_force
Barbour County,54001,2010,6868,6194,674,9.8,16256,80.8,16.2,13134.847999999998,2633.472,52.288385826771666,6266.847999999998
Barbour County,54001,2011,6774,6165,609,9.0,16373,80.7,16.2,13213.011,2652.426,51.267648229461095,6439.011
Barbour County,54001,2012,6736,6197,539,8.0,16472,80.6,16.8,13276.431999999999,2767.2960000000003,50.73652318635007,6540.431999999999
Barbour County,54001,2013,6730,6255,475,7.1,16655,81.0,17.2,13490.550000000001,2864.66,49.886772592666716,6760.550000000001
Barbour County,54001,2014,6904,6447,457,6.6,16723,81.1,17.8,13562.353,2976.6940000000004,50.90562087566959,6658.352999999999
Barbour County,54001,2015,6982,6482,500,7.2,16731,81.5,18.2,13635.765,3045.042,51.20358117054672,6653.764999999999
Barbour County,54001,2016,6707,6245,462,6.9,16892,81.9,18.5,13834.548,3125.02,48.48008044787585,7127.548000000001
Barbour County,54001,2017,6487,6099,388,6.0,16790,82.2,18.570577724836212,13801.380000000001,3118.0,47.00254612219938,7314.380000000001
Barbour County,54001,2018,6549,6157,392,6.0,16730,82.2,18.99581589958159,13752.060000000001,3178.0,47.62195627418728,7203.060000000001
Barbour County,54001,2019,6745,6330,415,6.2,16633,82.1,19.395178260085373,13655.693,3226.0000000000005,49.39331896228188,6910.692999999999
Barbour County,54001,2020,6701,6119,582,8.7,16543,82.5,20.050776763585805,13647.974999999999,3317.0,49.098858988238185,6946.9749999999985
Barbour County,54001,2021,6640,6268,372,5.6,15600,81.8,20.032051282051285,12760.8,3125.0000000000005,52.03435521283932,6120.799999999999
Barbour County,54001,2022,6701,6390,311,4.6,15527,82.3,20.834675082115027,12778.721,3235.0,52.43873780482413,6077.721
Barbour County,54001,2023,6665,6330,335,5.0,15454,82.6,20.79720460722143,12765.003999999999,3214.0,52.21306628654406,6100.003999999999
Barbour County,54001,2024,6578,6248,330,5.0,15424,82.9,21.109958506224068,12786.496000000001,3256.0000000000005,51.444899368834115,6208.496000000001
